Resumption of the session	Reprise de la session
Therefore, the proposal of the Group of the Party of European Socialists, and which you have mentioned, is that the Prodi Commission present its legislative programme on Wednesday, including its proposed administrative reform, because, otherwise, we could find ourselves in a paradoxical situation: on the pretext that there is no text, on the one hand, the President of the Commission would be denied his right to speak in this Parliament and, on the other hand, there would be a debate on a reform when Parliament had no prior knowledge of the texts on which it is based.	Par conséquent, la proposition du groupe du parti des socialistes européens que vous avez mentionnée est de maintenir à mercredi la présentation du programme de législature de la Commission Prodi, en incluant également dans le programme le projet de réforme administrative car, si ce n'est pas fait, nous risquons de nous retrouver dans une position paradoxale : sous prétexte qu'il n'y a pas de texte, on refuse d'une part le droit du président de la Commission à s'exprimer dans ce Parlement et, d'autre part, la tenue d'un débat sur une réforme dont le Parlement ne connaît pas les textes.
Therefore, Madam President, I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote.	Je vous prie dès lors, Madame la Présidente, de demander à la Commission de s'exprimer maintenant et que l'on procède ensuite au vote.
(Applause from the PSE Group)	(Applaudissements du groupe PSE)
Madam President, I would like to make it very clear that, above all, the Commission has absolute respect for the decisions of this Parliament and, amongst those, the decision establishing its agenda.	Madame la Présidente, avant toute chose, je voudrais qu'il soit bien clair que la Commission a le plus grand respect pour les décisions de ce Parlement et, notamment, pour celle qui concerne la fixation de l'ordre du jour.
We therefore respect whatever Parliament may decide.	Par conséquent, nous respectons les décisions que pourrait prendre le Parlement dans ce sens.
But I would also like to make it very clear that President Prodi made a commitment to this Parliament to introduce a new debate, as Mr Barón Crespo has reminded us, which would be in addition to the annual debate on the Commission' s legislative programme, on the broad areas of action for the next five years, that is to say, for this legislature.	Mais je voudrais également qu'il soit bien clair que le président Prodi s'est engagé avec le Parlement à instaurer un nouveau débat, comme l'a rappelé M. Barón, qui vient s'ajouter au débat annuel sur le programme législatif de la Commission, sur les grandes lignes d'action pour la prochaine période de cinq ans, c'est-à-dire pour cette législature.
Madam President, I would like to say that the agreement reached in September distinguished this debate from the annual presentation of the Commission' s legislative programme.	Je voudrais dire, Madame la Présidente, que, dans l'accord auquel on est parvenu au mois de septembre, ce débat diffère de la présentation annuelle du programme législatif de la Commission.
I would also like to say that the Commission is prepared and ready to hold this debate whenever it is convenient and that we were ready to do so this week as we had agreed originally, on the basis that it would be presented the day before in a speech to parliamentary groups.	J'ajouterais, Madame la Présidente, que, du côté de la Commission, nous sommes prêts et disposés à organiser ce débat quand cela vous conviendra, que nous étions prêts à le développer cette semaine, comme cela avait été décidé au départ, en se basant sur le fait qu'il était présenté la veille dans un discours aux groupes parlementaires.
Therefore, Madam President, I would like to repeat that the Commission has debated the action plan for the next five years and, when Parliament decides, - this week if that is the decision - we are prepared to come and explain the programme for the next five years and, next month, the programme for 2000, which is what we fully agreed upon.	Je voudrais donc répéter, Madame la Présidente, que, pour notre part, nous avons discuté du programme d'action pour les cinq prochaines années et que nous sommes prêts à venir présenter le programme pour les cinq prochaines années quand le Parlement le décidera ­ y compris cette semaine, si telle est sa décision ­ et le programme pour l'an 2000, le mois prochain, ce sur quoi nous nous étions parfaitement mis d'accord.
I propose that we vote on the request of the Group of the Party of European Socialists that the Commission statement on its strategic objectives should be reinstated.	Je propose que nous votions sur la demande du groupe socialiste visant à réinscrire la déclaration de la Commission sur ses objectifs stratégiques.
(Parliament rejected the request) President.	(Le Parlement rejette la demande) La Présidente.
Still on the subject of Wednesday' s sitting, I have another proposal regarding the oral question on capital tax.	Toujours au sujet de la journée du mercredi, j'ai une autre proposition concernant la question orale sur l'impôt sur le capital.
The PPE-DE Group is requesting that this item be taken off the agenda.	Le groupe PPE­DE demande de retirer ce point de l'ordre du jour.
Is there a member who wishes to speak on behalf of this Group to propose this?	Y a-t-il un collègue pour prendre la parole au nom du groupe et justifier cette demande ?
Madam President, I can hear a ripple of laughter from the Socialists. I was told that large sections of the Socialist Group were also keen to have this item taken off the agenda, because at the vote in the Conference of Presidents no vote was received from the working group of Members of the Socialist Group responsible for this matter.	Madame la Présidente, pour répondre aux rires que j'entends parmi les socialistes, on m'a dit que de larges pans du groupe socialiste aimeraient également supprimer ce point de l'ordre du jour car lors du scrutin au sein de la Conférence des présidents, les collègues responsables du groupe socialiste ne disposaient pas du vote du groupe de travail.
I do not know whether this information is correct, but the PPE-DE Group would, in any case, be grateful if this item were removed because Parliament has addressed this issue several times already.	Je ne sais si cette information est correcte mais quoi qu'il en soit, le groupe PPE-DE vous saurait gré de supprimer ce point de l'ordre du jour car le Parlement s'est en effet maintes fois saisi de cette question.
Decisions have also been adopted against a tax of this kind.	Des décisions existent qui s'opposent à une telle taxe.
That is why my Group moves that this item be taken off the agenda.	C'est pourquoi mon groupe demande que ce point soit retiré de l'ordre du jour.
Thank you, Mr Poettering.	Merci Monsieur Poettering.
We shall now hear Mr Wurtz speaking against this request.	Nous entendons à présent M. Wurtz, qui s' exprime contre cette demande.
Madam President, I would firstly like to point out Mr Poettering' s lack of logic.	Madame la Présidente, je voudrais d' abord souligner le manque de logique de M. Poettering.
He has just been preaching to the Group of the Party of European Socialists because they went back on a decision taken in a perfectly clear manner at the Conference of Presidents, and now he is doing just the same.	A l' instant, il vient de faire la leçon au groupe socialiste parce que celui-ci revient sur une décision qui a été prise de façon extrêmement nette en Conférence des présidents. Or, il fait la même chose.
We discussed that matter and we were unanimous, with the exception of the PPE and ELDR Groups. As my fellow chairmen will recall, I even mentioned that it was not a matter of knowing whether one was for or against the Tobin tax, but of whether one dared to hear what the Commission and the Council thought of it.	Nous avons discuté, nous étions unanimes sauf le groupe PPE et le groupe libéral et j' avais même fait remarquer, vous vous en souviendrez mes chers confrères présidents, que la question n' est pas de savoir si vous êtes pour ou contre la taxe Tobin, mais de savoir si vous osez entendre ce que la Commission et le Conseil en pensent.
It is not a lot to ask.	Ce n' est pas demander beaucoup.
I therefore repeat the proposal that this oral question to the Commission and the Council should be retained so that we can find out, once and for all, the positions of these two bodies regarding the proposal which is relatively modest but which would give a clear message to public opinion, particularly after the tide of feeling generated by the failure of the Seattle Conference.	Donc, je réitère la proposition de maintenir cette question orale à la Commission et au Conseil pour connaître une fois pour toutes la position de ces deux instances par rapport à cette proposition relativement modeste, mais qui donnerait un signal important à l' opinion, en particulier après l' émotion suscitée par l' échec de la conférence de Seattle.
We shall proceed to vote on the PPE-DE Group' s request that the oral question regarding the capital tax be withdrawn from the agenda.	Nous allons voter sur la demande du groupe PPE-DE visant à retirer la question orale concernant l' impôt sur le capital de l' ordre du jour.
(Parliament rejected the request, with 164 votes for, 166 votes against and 7 abstentions)	(Le Parlement rejette la demande avec 164 voix pour, 166 voix contre et 7 abstentions)
Madam President, I would like to thank Mr Poettering for advertising this debate.	Madame la Présidente, je voudrais remercier M. Poettering pour le coup de publicité qu' il vient de donner à ce débat.
Thank you very much.	Merci.
Madam President, has my vote been counted? I was unable to vote electronically, since I do not have a card.	Madame la Présidente, a-t-on comptabilisé mon vote, qui n'a pu être réalisé électroniquement parce que je n'ai pas ma carte ?
My vote was "in favour" .	J'ai voté "pour".
Indeed, if we add the two Members who have declared themselves, then the result of the vote would be ....	Effectivement, si on ajoute les deux collègues qui se sont manifestés, nous obtenons comme résultat....
Madam President, the Presidency has already declared the result of the vote.	Madame la Présidente, la présidence a proclamé le résultat du vote.
There is no room for amendments.	Les modifications n'ont pas lieu d'être.
Madam President, in the earlier vote - and I will abide by your ruling on this matter - on the question of the strategic plan of the Commission I indicated that I would like to speak in advance of the vote on behalf of my Group.	Madame la Présidente, lors du dernier vote ­ et je m'en remets à votre décision sur ce sujet - sur la question du plan stratégique de la Commission, j'ai signalé que je demandais la parole avant le vote au nom de mon groupe.
That did not happen.	Mais ma demande n'a pas été satisfaite.
I would appreciate it if, on the close of this item of business, I might be allowed to give an explanation of vote on behalf of my Group.	Je vous saurai gré, à l'issue de ce point de l'ordre du jour, de me permettre de fournir un explication de vote au nom de mon groupe.
This is an important matter.	C'est important.
It would be useful for the record of the House to state how people perceive what we have just done in the light of their own political analysis.	Il serait utile de consigner au procès-verbal du Parlement la manière dont les gens perçoivent ce que nous venons de faire, à la lumière de leur propre analyse politique.
Madam President, I do not wish to reopen the debate, but I had also asked for the floor, to comment on Mr Barón Crespo's motion.	Madame la Présidente, je ne veux pas relancer le débat mais j'avais également demandé la parole pour m'exprimer quant à la demande de M. Barón Crespo.
You did not call me either.	Moi non plus, vous ne m'avez pas donné la parole.
I regret this, but the vote has already been taken and the decision is made so let us leave the matter there.	Je le déplore mais le vote a été effectué, la décision est tombée et nous devrions donc en rester là.
I am terribly sorry, Mr Hänsch and Mr Cox. I did not see you asking to speak.	Je suis désolée, Monsieur Hänsch et Monsieur Cox, je n'avais pas vu que vous demandiez la parole.
Even so, I think the positions are quite clear and they shall be entered in the Minutes.	Cela étant, je crois que les positions sont bien claires et elles seront consignées au procès-verbal.
When we adopt the Minutes for today' s sitting tomorrow, then any Members who think the positions have not been explained clearly enough may ask for amendments.	Lorsque nous adopterons demain le procès-verbal de la séance d'aujourd'hui, les collègues qui estimeront que les positions n'ont pas été suffisamment bien expliquées pourront demander des modifications.
This seems to me to be a workable solution.	Il me semble que c'est une bonne formule.
Of course, the Minutes for tomorrow' s sitting will take into account any additional explanations.	Bien entendu, le procès-verbal de la réunion de demain tiendra compte de toutes les explications complémentaires.
I think this is a better solution than proceeding now to extremely time-consuming explanations of votes.	Je crois que c'est une meilleure formule que de procéder maintenant à des explications de vote qui nous entraîneraient très loin.
Mr Cox, Mr Hänsch, would this be acceptable to you?	Monsieur Cox, Monsieur Hänsch, est-ce que cela vous convient ?
Madam President, if the vote records correctly how my Group voted I shall not, and cannot, object to that.	Madame la Présidente, si le procès-verbal reflète correctement le vote de mon groupe, je n'ai et n'aurai aucune objection à formuler.
If your ruling is that I cannot give an explanation of vote, I accept that but with reservations.	Si votre décision est que je ne puis pas donner d'explication de vote, je l'accepte, mais avec certaines réserves.
We shall pay particular attention to the wording of the Minutes, as we always do, of course.	Nous ferons donc très attention à la rédaction du procès-verbal. Nous le faisons d'ailleurs toujours.
If they do not properly reflect the positions adopted, then we may correct them, if necessary.	S'il ne reflète pas bien les positions, nous pourrons éventuellement le corriger.
(The order of business was adopted thus amended)	(Le Parlement adopte l'ordre des travaux ainsi modifié)
Safety advisers for the transport of dangerous goods	Conseillers à la sécurité pour le transport de marchandises dangereuses
